Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort
50	81460.02	41089.89	62658.32	41828.625
100	57111.44	42444.184	35886.766	13791.855
150	106148.92	22967.03	61092.04	18557.23
200	196055.64	36743.426	81437.77	25398.484
250	304596.53	52137.434	78965.32	30882.04
300	437747.62	72717.51	113639.85	38504.57
350	599587.2	96729.16	155078.56	47589.164
400	772334.0	120588.78	200340.69	54608.176
450	958910.06	146978.86	247712.48	60527.805
500	1190936.8	180213.72	312990.44	69155.83
550	1435644.6	216728.05	374949.44	77537.62
600	1730833.2	270211.12	451091.88	86179.3
650	1947682.9	287590.22	512956.47	90539.42
700	2235616.2	326930.97	584082.0	97676.52
750	2598631.8	375137.53	678090.6	106796.94
800	2957811.8	421962.25	771152.56	114794.02
850	3286965.8	474017.72	864218.75	122941.6
900	3685655.2	527107.4	968177.5	131348.98
950	4081811.8	583666.6	1088422.5	141008.12
1000	4549532.5	642363.1	1203552.0	147054.1
